Email Address,Size:,"Including yourself, how many people can you seat? (If you are unable to host, please put 0)",host_target,allergies,allergens,knows,repels,October 24,November 15,December 5,January 23,February 20,March 20,April 24,May 15
ag0@email.email,1,8,,,,,l,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
ag1@email.email,2,8,,,c,,,Can Host,Cannot Attend,Can Host,Can Attend,Can Host,Can Attend,Can Host,Can Host
ag2@email.email,2,6,,c,,,,Can Attend,Can Attend,Can Attend,Can Host,Can Host,Can Host,Can Host,Can Host
ag3@email.email,2,8,,,,,,Can Attend,Cannot Attend,Cannot Attend,Can Host,Cannot Attend,Can Host,Can Host,Cannot Attend
ag4@email.email,2,0,,,,,,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
ag5@email.email,2,10,,,,,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
ag6@email.email,2,8,,,,,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
ag7@email.email,1,0,,,,,,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
ag8@email.email,3,10,,c,,,,Cannot Attend,Can Attend,Can Host,Can Host,Can Host,Can Host,Can Host,Can Attend
ag9@email.email,2,6,,,j,,,Can Attend,Can Attend,Can Attend,Can Host,Can Attend,Can Attend,Can Attend,Can Host
ag10@email.email,2,8,,,,r,,Can Host,Can Host,Cannot Attend,Can Host,Can Host,Can Host,Can Host,Can Attend
ag11@email.email,2,10,,,c,,,Can Host,Can Host,Can Host,Cannot Attend,Can Host,Can Host,Can Host,Can Host
ag12@email.email,2,8,,,c,,,Cannot Attend,Can Attend,Cannot Attend,Can Host,Can Host,Cannot Attend,Can Host,Cannot Attend
ag13@email.email,2,8,,,c,,,Cannot Attend,Can Host,Can Host,Can Attend,Can Host,Can Host,Can Attend,Can Host
ag14@email.email,2,8,,,,,,Can Attend,Can Attend,Can Attend,Can Host,Can Host,Can Attend,Can Host,Can Host
ag15@email.email,1,1,,,c,,,Can Host,Can Host,Can Host,Can Attend,Can Attend,Cannot Attend,Can Host,Can Attend
ag16@email.email,2,0,,,,j,,Cannot Attend,Cannot Attend,Can Attend,Can Attend,Cannot Attend,Cannot Attend,Cannot Attend,Cannot Attend
ag17@email.email,2,8,,c,,,,Cannot Attend,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
ag18@email.email,3,8,4,,c,,,Can Host,Cannot Attend,Can Host,Cannot Attend,Cannot Attend,Can Host,Can Host,Cannot Attend
ag19@email.email,1,0,,,,,,Cannot Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
ag20@email.email,1,0,,,,,,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
ag21@email.email,2,8,,,,,,Cannot Attend,Can Host,Can Host,Can Host,Cannot Attend,Can Host,Cannot Attend,Cannot Attend
ag22@email.email,2,0,,c,,,l,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
ag23@email.email,2,6,,,,,,Can Host,Cannot Attend,Can Host,Can Attend,Cannot Attend,Cannot Attend,Cannot Attend,Cannot Attend
ag24@email.email,2,0,,,,r,,Can Attend,Can Attend,Cannot Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
ag25@email.email,2,8,,,j,,,Can Host,Cannot Attend,Can Host,Cannot Attend,Can Host,Cannot Attend,Can Host,Cannot Attend
ag26@email.email,2,8,,,,,,Cannot Attend,Can Attend,Can Attend,Cannot Attend,Can Host,Can Attend,Can Host,Can Attend
ag27@email.email,2,8,,,,,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
ag28@email.email,2,0,,,,,,Can Attend,Can Attend,Can Attend,Cannot Attend,Cannot Attend,Cannot Attend,Cannot Attend,Cannot Attend
ag29@email.email,2,8,,,,,,Can Attend,Can Attend,Can Attend,Can Host,Can Host,Can Host,Can Host,Can Attend
ag30@email.email,2,0,,j,,,,Can Attend,Cannot Attend,Cannot Attend,Can Attend,Can Attend,Cannot Attend,Cannot Attend,Cannot Attend
ag31@email.email,2,8,,,,j,,Can Host,Can Host,Can Attend,Cannot Attend,Cannot Attend,Cannot Attend,Can Host,Can Host
ag32@email.email,2,8,,,,,,Can Host,Can Host,Cannot Attend,Can Host,Can Attend,Can Host,Can Host,Cannot Attend
ag33@email.email,2,0,,,,,,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
ag34@email.email,2,0,,c,,,,Cannot Attend,Can Attend,Can Attend,Can Attend,Can Attend,Cannot Attend,Cannot Attend,Cannot Attend
