Email,size,space,host_limit,allergies,allergens,knows,repels,Dates [October 21 (A Friday)],Dates [November 18 (A Friday)],Dates [January 20 (B Friday)],Dates [February 24 (A Friday)],Dates [March 24 (A Friday)],Dates [April 28 (B Friday)]
g1@example.com,1,8,4,,,,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
g2@example.com,2,6,4,,,,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
g3@example.com,2,8,3,,,,,Can Attend,Can Host,Can Host,Can Host,Can Host,Can Host
g4@example.com,2,8,1,c,,,,Cannot Attend,Cannot Attend,Can Host,Cannot Attend,Cannot Attend,Cannot Attend
g5@example.com,2,8,4,,,,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
g6@example.com,2,8,3,,,,,Can Host,Can Host,Cannot Attend,Can Attend,Can Attend,Can Host
g7@example.com,2,6,4,,,,,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
g8@example.com,2,6,4,c,,c,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
g9@example.com,2,6,4,,,,,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
g10@example.com,2,6,2,,c,,,Cannot Attend,Cannot Attend,Can Host,Can Attend,Can Attend,Can Host
g11@example.com,1,0,4,,,v,,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
g12@example.com,2,6,4,c,,,,Can Attend,Can Attend,Can Host,Can Host,Can Host,Can Host
g13@example.com,2,0,4,,,h,,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
g14@example.com,2,8,1,,,,,Cannot Attend,Can Host,Can Attend,Cannot Attend,Cannot Attend,Can Attend
g15@example.com,2,6,2,,,,,Can Host,Cannot Attend,Can Attend,Can Host,Can Attend,Cannot Attend
g16@example.com,1,0,4,,c,,,Cannot Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
g17@example.com,2,6,2,,,,,Cannot Attend,Can Attend,Can Attend,Can Host,Can Attend,Can Host
g18@example.com,2,0,4,,c,,,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
g19@example.com,2,8,4,c,,,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
g20@example.com,2,0,4,c,,,,Can Attend,Cannot Attend,Can Attend,Can Attend,Can Attend,Can Attend
g21@example.com,3,6,4,,c,,,Can Host,Can Host,Can Attend,Can Host,Can Host,Can Host
g22@example.com,2,6,4,,c,,,Can Attend,Can Host,Can Attend,Can Host,Can Attend,Can Attend
g23@example.com,1,0,4,,,,,Cannot Attend,Can Attend,Cannot Attend,Cannot Attend,Cannot Attend,Cannot Attend
g24@example.com,2,8,3,,,,,Cannot Attend,Can Host,Can Host,Can Host,Can Host,Can Host
g25@example.com,2,8,4,,,,,Can Attend,Can Attend,Can Attend,Can Host,Can Host,Cannot Attend
g26@example.com,2,0,4,,,,,Cannot Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
g27@example.com,2,4,4,,,,,Can Host,Can Host,Can Attend,Can Host,Can Attend,Can Attend
g28@example.com,2,6,4,,,,,Can Host,Can Host,Can Attend,Can Attend,Can Attend,Can Attend
g29@example.com,1,6,4,,c,,,Can Attend,Can Attend,Can Attend,Can Host,Can Host,Can Host
g30@example.com,1,0,4,c,,,,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
g31@example.com,2,0,4,,,r,,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
g32@example.com,1,8,4,,,,,Can Host,Can Host,Can Attend,Can Host,Can Host,Can Host
g33@example.com,2,0,4,,,h,,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
g34@example.com,2,4,4,c,,,,Cannot Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
g35@example.com,1,0,4,,,,,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
g36@example.com,2,8,4,,,v,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
g37@example.com,1,0,4,,,,,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
g38@example.com,2,6,4,,,r,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
g39@example.com,2,0,4,,,c,,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
g40@example.com,2,8,4,,,,,Cannot Attend,Can Attend,Can Host,Can Host,Can Host,Can Host
g41@example.com,2,8,4,c,,,,Cannot Attend,Can Attend,Can Host,Can Attend,Can Attend,Can Host
