Night,Size,Space,Host,Attendees
0,8,8,ag32@email.email,"ag3@email.email, ag14@email.email, ag32@email.email, ag22@email.email"
0,8,8,ag18@email.email,"ag27@email.email, ag7@email.email, ag18@email.email, ag33@email.email"
0,8,8,ag25@email.email,"ag25@email.email, ag24@email.email, ag4@email.email, ag9@email.email"
0,1,1,ag15@email.email,ag15@email.email
0,8,8,ag5@email.email,"ag5@email.email, ag11@email.email, ag10@email.email, ag30@email.email"
0,8,8,ag6@email.email,"ag31@email.email, ag2@email.email, ag1@email.email, ag6@email.email"
0,8,8,ag0@email.email,"ag29@email.email, ag20@email.email, ag23@email.email, ag0@email.email, ag28@email.email"
1,6,8,ag32@email.email,"ag19@email.email, ag32@email.email, ag7@email.email, ag22@email.email"
1,6,8,ag5@email.email,"ag12@email.email, ag5@email.email, ag34@email.email"
1,1,1,ag15@email.email,ag15@email.email
1,8,8,ag31@email.email,"ag31@email.email, ag26@email.email, ag24@email.email, ag9@email.email"
1,8,8,ag21@email.email,"ag2@email.email, ag21@email.email, ag17@email.email, ag33@email.email"
1,8,8,ag11@email.email,"ag6@email.email, ag14@email.email, ag10@email.email, ag11@email.email"
1,7,8,ag13@email.email,"ag28@email.email, ag29@email.email, ag20@email.email, ag13@email.email"
1,8,8,ag27@email.email,"ag27@email.email, ag0@email.email, ag8@email.email, ag4@email.email"
2,8,8,ag21@email.email,"ag31@email.email, ag25@email.email, ag14@email.email, ag21@email.email"
2,8,8,ag8@email.email,"ag8@email.email, ag26@email.email, ag15@email.email, ag22@email.email"
2,8,8,ag18@email.email,"ag19@email.email, ag4@email.email, ag18@email.email, ag9@email.email"
2,8,8,ag13@email.email,"ag29@email.email, ag13@email.email, ag6@email.email, ag23@email.email"
2,7,8,ag0@email.email,"ag0@email.email, ag2@email.email, ag17@email.email, ag11@email.email"
2,8,8,ag1@email.email,"ag1@email.email, ag20@email.email, ag16@email.email, ag7@email.email, ag28@email.email"
2,8,8,ag27@email.email,"ag27@email.email, ag5@email.email, ag33@email.email, ag34@email.email"
3,7,8,ag6@email.email,"ag0@email.email, ag6@email.email, ag5@email.email, ag34@email.email"
3,8,8,ag3@email.email,"ag3@email.email, ag16@email.email, ag4@email.email, ag13@email.email"
3,8,8,ag12@email.email,"ag12@email.email, ag30@email.email, ag23@email.email, ag1@email.email"
3,8,8,ag17@email.email,"ag19@email.email, ag24@email.email, ag32@email.email, ag17@email.email, ag15@email.email"
3,7,8,ag10@email.email,"ag27@email.email, ag7@email.email, ag10@email.email, ag22@email.email"
3,8,8,ag29@email.email,"ag29@email.email, ag2@email.email, ag21@email.email, ag33@email.email"
3,8,8,ag14@email.email,"ag8@email.email, ag14@email.email, ag20@email.email, ag9@email.email"
4,7,8,ag29@email.email,"ag26@email.email, ag29@email.email, ag15@email.email, ag22@email.email"
4,5,8,ag10@email.email,"ag7@email.email, ag10@email.email, ag17@email.email"
4,8,8,ag1@email.email,"ag25@email.email, ag24@email.email, ag1@email.email, ag4@email.email"
4,7,8,ag14@email.email,"ag19@email.email, ag14@email.email, ag33@email.email, ag34@email.email"
4,7,8,ag8@email.email,"ag8@email.email, ag0@email.email, ag6@email.email, ag20@email.email"
4,4,6,ag2@email.email,"ag2@email.email, ag9@email.email"
4,8,8,ag12@email.email,"ag12@email.email, ag5@email.email, ag32@email.email, ag13@email.email"
4,6,8,ag11@email.email,"ag27@email.email, ag30@email.email, ag11@email.email"
5,7,8,ag17@email.email,"ag0@email.email, ag6@email.email, ag17@email.email, ag9@email.email"
5,8,8,ag3@email.email,"ag3@email.email, ag19@email.email, ag8@email.email, ag33@email.email"
5,8,8,ag18@email.email,"ag26@email.email, ag24@email.email, ag20@email.email, ag18@email.email"
5,5,8,ag13@email.email,"ag11@email.email, ag7@email.email, ag13@email.email"
5,6,6,ag2@email.email,"ag27@email.email, ag2@email.email, ag32@email.email"
5,8,8,ag5@email.email,"ag5@email.email, ag1@email.email, ag22@email.email, ag21@email.email"
5,8,8,ag10@email.email,"ag14@email.email, ag4@email.email, ag10@email.email, ag29@email.email"
6,8,8,ag29@email.email,"ag31@email.email, ag29@email.email, ag17@email.email, ag22@email.email"
6,8,8,ag0@email.email,"ag8@email.email, ag0@email.email, ag32@email.email, ag3@email.email"
6,8,8,ag18@email.email,"ag24@email.email, ag7@email.email, ag18@email.email, ag9@email.email"
6,1,1,ag15@email.email,ag15@email.email
6,7,8,ag27@email.email,"ag27@email.email, ag12@email.email, ag20@email.email, ag10@email.email"
6,7,8,ag25@email.email,"ag19@email.email, ag25@email.email, ag5@email.email, ag33@email.email"
6,8,8,ag6@email.email,"ag2@email.email, ag14@email.email, ag6@email.email, ag13@email.email"
6,8,8,ag11@email.email,"ag11@email.email, ag26@email.email, ag1@email.email, ag4@email.email"
7,6,6,ag2@email.email,"ag2@email.email, ag22@email.email, ag33@email.email"
7,8,8,ag31@email.email,"ag19@email.email, ag7@email.email, ag9@email.email, ag31@email.email, ag11@email.email"
7,7,8,ag5@email.email,"ag5@email.email, ag24@email.email, ag20@email.email, ag6@email.email"
7,8,8,ag17@email.email,"ag8@email.email, ag29@email.email, ag15@email.email, ag17@email.email"
7,7,8,ag13@email.email,"ag0@email.email, ag13@email.email, ag10@email.email, ag4@email.email"
7,8,8,ag14@email.email,"ag27@email.email, ag26@email.email, ag14@email.email, ag1@email.email"
