email,size,space,allergies,allergens,repel,dinner 1,dinner 2,dinnger 3,dinner 4,dinner 5,dinner 6
group1@test.com,1,0,,,o,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
group2@test.com,1,0,,c,,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend,Can Attend
group3@test.com,1,6,,,t,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
group4@test.com,1,8,,c,f,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
group5@test.com,2,8,,c,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
group6@test.com,2,6,,c,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
group7@test.com,2,8,,c,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
group8@test.com,2,8,,c,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
group9@test.com,2,6,,c,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
group10@test.com,2,8,,c,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
group11@test.com,2,8,,c,o,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
group12@test.com,2,6,,c,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
group13@test.com,2,8,,c,t,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
group14@test.com,2,8,,c,f,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
group15@test.com,2,6,,c,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
group16@test.com,2,8,,c,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
group17@test.com,2,0,,c,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
group18@test.com,2,6,,c,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
group19@test.com,3,8,,c,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
group20@test.com,3,8,,,,Can Host,Can Host,Can Host,Can Host,Can Host,Can Host
